sample,target,ct
35S 3047 input,Actin,19.80835533
,,19.71887016
,,19.8662262
,,19.85677338
35S 3047 1+,Actin,34.60662079
,,38.43645477
,,33.74417877
,,Undetermined
35S 3047 2+,Actin,33.87943268
,,33.33296585
,,33.35675812
,,33.74059296
35S 3048 input,Actin,19.629776
,,19.67432404
,,19.74283981
,,19.81333923
35S 3048 1+,Actin,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
35S 3048 2+,Actin,32.34197998
,,33.24423599
,,32.65500259
,,32.1421814
